Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded,link,wiki_link
FE,FirstEnergy,Utilities,Electric Utilities,"Akron, Ohio",1997-11-28,1031296,1997,/wiki/FirstEnergy,https://en.wikipedia.org/wiki/FirstEnergy
FI,Fiserv,Financials,Transaction & Payment Processing Services,"Brookfield, Wisconsin",2001-04-02,798354,1984,/wiki/Fiserv,https://en.wikipedia.org/wiki/Fiserv
FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,"Philadelphia, Pennsylvania",2009-08-19,37785,1883,/wiki/FMC_Corporation,https://en.wikipedia.org/wiki/FMC_Corporation
F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",1957-03-04,37996,1903,/wiki/Ford_Motor_Company,https://en.wikipedia.org/wiki/Ford_Motor_Company
FTNT,Fortinet,Information Technology,Systems Software,"Sunnyvale, California",2018-10-11,1262039,2000,/wiki/Fortinet,https://en.wikipedia.org/wiki/Fortinet
FTV,Fortive,Industrials,Industrial Machinery & Supplies & Components,"Everett, Washington",2016-07-01,1659166,2016,/wiki/Fortive,https://en.wikipedia.org/wiki/Fortive
FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,"New York City, New York",2019-03-04,1754301,2019,/wiki/Fox_Corporation,https://en.wikipedia.org/wiki/Fox_Corporation
FOX,Fox Corporation (Class B),Communication Services,Broadcasting,"New York City, New York",2019-03-04,1754301,2019,/wiki/Fox_Corporation,https://en.wikipedia.org/wiki/Fox_Corporation
BEN,Franklin Templeton,Financials,Asset Management & Custody Banks,"San Mateo, California",1998-04-30,38777,1947,/wiki/Franklin_Templeton,https://en.wikipedia.org/wiki/Franklin_Templeton
FCX,Freeport-McMoRan,Materials,Copper,"Phoenix, Arizona",2011-07-01,831259,1912,/wiki/Freeport-McMoRan,https://en.wikipedia.org/wiki/Freeport-McMoRan
GRMN,Garmin,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",2012-12-12,1121788,1989,/wiki/Garmin,https://en.wikipedia.org/wiki/Garmin
IT,Gartner,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut",2017-04-05,749251,1979,/wiki/Gartner,https://en.wikipedia.org/wiki/Gartner
GE,GE Aerospace,Industrials,Aerospace & Defense,"Evendale, Ohio",1957-03-04,40545,1892,/wiki/GE_Aerospace,https://en.wikipedia.org/wiki/GE_Aerospace
GEHC,GE HealthCare,Health Care,Health Care Equipment,"Chicago, Illinois",2023-01-04,1932393,1994,/wiki/GE_HealthCare,https://en.wikipedia.org/wiki/GE_HealthCare
GEV,GE Vernova,Industrials,Heavy Electrical Equipment,"Cambridge, Massachusetts",2024-04-02,1996810,2024,/wiki/GE_Vernova,https://en.wikipedia.org/wiki/GE_Vernova
GEN,Gen Digital,Information Technology,Systems Software,"Tempe, Arizona",2003-03-25,849399,1982,/wiki/Gen_Digital,https://en.wikipedia.org/wiki/Gen_Digital
GNRC,Generac,Industrials,Electrical Components & Equipment,"Waukesha, Wisconsin",2021-03-22,1474735,1959,/wiki/Generac,https://en.wikipedia.org/wiki/Generac
GD,General Dynamics,Industrials,Aerospace & Defense,"Falls Church, Virginia",1957-03-04,40533,1899,/wiki/General_Dynamics,https://en.wikipedia.org/wiki/General_Dynamics
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",1957-03-04,40704,1856,/wiki/General_Mills,https://en.wikipedia.org/wiki/General_Mills
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",2013-06-06,1467858,1908,/wiki/General_Motors,https://en.wikipedia.org/wiki/General_Motors
GPC,Genuine Parts Company,Consumer Discretionary,Distributors,"Atlanta, Georgia",1973-12-31,40987,1925,/wiki/Genuine_Parts_Company,https://en.wikipedia.org/wiki/Genuine_Parts_Company
GILD,Gilead Sciences,Health Care,Biotechnology,"Foster City, California",2004-07-01,882095,1987,/wiki/Gilead_Sciences,https://en.wikipedia.org/wiki/Gilead_Sciences
GPN,Global Payments,Financials,Transaction & Payment Processing Services,"Atlanta, Georgia",2016-04-25,1123360,2000,/wiki/Global_Payments,https://en.wikipedia.org/wiki/Global_Payments
GL,Globe Life,Financials,Life & Health Insurance,"McKinney, Texas",1989-04-30,320335,1900,/wiki/Globe_Life,https://en.wikipedia.org/wiki/Globe_Life
